"Name","LevelCount","RelativeLevel","MirrorRelativeLevel","CloneRelativeLevel","DonateCapacity","SortCapacity","DonateReward","DonateXP","GoldConversionValue","ChanceWeight","BalanceMultiplier","UpgradeExp","UpgradeMaterialCount","UpgradeCost","PowerLevelMultiplier","RefundGems","TID","CardBaseFileName","BigFrameExportName","CardBaseExportName","StackedCardExportName","CardRewardExportName","CastEffect","InfoTitleExportName","CardRarityBGExportName","SortOrder","Red","Green","Blue","AppearEffect","BuySound","LoopEffect","CardTxtBgFrameIdx","CardGlowInstanceName","SpellSelectedSound","SpellAvailableSound","RotateExportName","IconSWF","IconExportName"
"String","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","String","String","String","String","String","String","String","String","String","int","int","int","int","String","String","String","int","String","String","String","String","String","String"
"Common",13,0,0,0,1,1,5,1,5,194,100,4,2,5,110,2,"TID_RARITY_COMMON","sc/ui.sc","spell_card_big","spell_card","spell_stack","spell_card_reward","SpellCasting","rarity_common","common_order",1,153,204,255,"openChest_get_common","sound_buy_card_common","openChest_loop_common",0,,,,"card_rotate_common_short","sc/ui.sc","icon_btn_card_common"
,,,,,,,,,,,,5,4,20,121,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,6,10,50,133,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10,20,150,146,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,25,50,400,160,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,50,100,1000,176,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,100,200,2000,193,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,200,400,4000,212,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,400,800,8000,233,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,600,1000,20000,256,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,800,2000,50000,281,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1600,5000,100000,309,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,100,0,339,,,,,,,,,,,,,,,,,,,,,,,,
"Rare",11,2,2,2,10,7,50,10,50,10,130,6,2,50,110,15,"TID_RARITY_RARE","sc/ui.sc","spell_card_rare_big","spell_card_rare","spell_stack_rare","spell_card_rare_reward","SpellCasting","rarity_rare","rare_order",2,255,204,102,"openChest_get_rare","sound_buy_card_rare","openChest_loop_rare",1,"card_glow_rare",,,"card_rotate_epic_short","sc/ui.sc","icon_btn_card_rare"
,,,,,,,,,,,,10,4,150,121,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,25,10,400,133,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,50,20,1000,146,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,100,50,2000,160,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,200,100,4000,176,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,400,200,8000,193,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,600,400,20000,212,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,800,800,50000,233,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1600,1000,100000,256,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,10,0,281,,,,,,,,,,,,,,,,,,,,,,,,
"Epic",8,5,5,5,10,80,500,10,1000,1,180,25,2,400,110,300,"TID_RARITY_EPIC","sc/ui.sc","spell_card_epic_big","spell_card_epic","spell_stack_epic","spell_card_epic_reward","SpellCasting","rarity_epic","epic_order",3,255,153,255,"openChest_get_epic","sound_buy_card_epic","openChest_loop_epic",2,"card_frame_glow_epic",,,"card_rotate_rare_short","sc/ui.sc","icon_btn_card_epic"
,,,,,,,,,,,,100,4,2000,121,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,200,10,4000,133,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,400,20,8000,146,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,600,50,20000,160,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,800,100,50000,176,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1600,200,100000,193,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,5,0,212,,,,,,,,,,,,,,,,,,,,,,,,
"Legendary",5,8,8,8,4000,2000,50,25,20000,1,250,250,2,5000,110,8000,"TID_RARITY_LEGENDARY","sc/ui.sc","spell_card_legendary_big","spell_card_legendary","spell_stack_legendary","spell_card_legendary_reward","SpellCasting","rarity_legendary","legendary_order",4,255,153,255,"openChest_get_legendary","sound_buy_card_legendary","openChest_loop_legendary",3,"card_frame_glow_legendary","Select legendary spell","Legendary spell available","card_rotate_legendary_short","sc/ui.sc","icon_btn_card_legendary"
,,,,,,,,,,,,600,4,20000,121,,,,,,,,,,,,255,153,255,,,,,,,,,,
,,,,,,,,,,,,800,10,50000,133,,,,,,,,,,,,255,255,153,,,,,,,,,,
,,,,,,,,,,,,1600,20,100000,146,,,,,,,,,,,,153,255,102,,,,,,,,,,
,,,,,,,,,,,,0,1,0,157,,,,,,,,,,,,,,,,,,,,,,,,
"Hero",13,0,0,0,1,1,5,1,5,194,100,4,2,5,110,2,"TID_RARITY_COMMON","sc/ui.sc","spell_card_big","spell_card","spell_stack","spell_card_reward","SpellCasting","rarity_common","common_order",1,153,204,255,"openChest_get_common","sound_buy_card_common","openChest_loop_common",0,,,,"card_rotate_common_short",,
,,,,,,,,,,,,5,4,20,121,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,6,10,50,133,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10,20,150,146,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,25,50,400,160,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,50,100,1000,176,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,100,200,2000,193,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,200,400,4000,212,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,400,800,8000,233,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,600,1000,20000,256,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,800,2000,50000,281,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1600,5000,100000,309,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,100,0,339,,,,,,,,,,,,,,,,,,,,,,,,
