"Name","BaseChest","Arena","InShop","InArenaInfo","TournamentChest","SurvivalChest","ShopPriceWithoutSpeedUp","TimeTakenDays","TimeTakenHours","TimeTakenMinutes","TimeTakenSeconds","RandomSpells","DifferentSpells","ChestCountInChestCycle","RareChance","EpicChance","LegendaryChance","SkinChance","GuaranteedSpells","MinGoldPerCard","MaxGoldPerCard","FileName","ExportName","ShopExportName","GainedExportName","AnimExportName","OpenInstanceName","SlotLandEffect","OpenEffect","TapSound","TapSoundShop","DescriptionTID","TID","NotificationTID","SpellSet","Exp","SortValue","SpecialOffer","DraftChest","IconSWF","IconExportName"
"String","String","String","boolean","boolean","boolean","boolean","int","int","int","int","int","int","int","int","int","int","int","int","String","int","int","String","String","String","String","String","String","String","String","String","String","String","String","String","String","int","int","boolean","boolean","String","String"
"Newbie1",,"TrainingCamp",,,,,0,,,,15,2,2,,,,,,"Knight",6,6,"sc/ui_chest.sc","Chest_wood",,"get_wood_chest","chest_open_wooden","chest_wood","chest_landing_wood","openChest_wood","tap_wooden_chest","sound_openChest_wood",,"TID_CHEST_WOOD","TID_CHEST_WOOD_NOTIFICATION",,,,,,"sc/ui_chest.sc","Chest_wood"
,,,,,,,,,,,,,,,,,,,"Arrows",,,,,,,,,,,,,,,,,,,,,,
"Newbie2",,"TrainingCamp",,,,,0,,,,15,2,2,,10,200,,,"Musketeer",6,6,"sc/ui_chest.sc","Chest_wood",,"get_wood_chest","chest_open_wooden","chest_wood","chest_landing_wood","openChest_wood","tap_wooden_chest","sound_openChest_wood",,"TID_CHEST_WOOD","TID_CHEST_WOOD_NOTIFICATION",,,,,,"sc/ui_chest.sc","Chest_wood"
"NewbieFixedEpic",,"TrainingCamp",,,,,0,,,,15,2,2,,10,2,,,,5,7,"sc/ui_chest.sc","Chest_wood",,"get_wood_chest","chest_open_wooden","chest_wood","chest_landing_wood","openChest_wood","tap_wooden_chest","sound_openChest_wood",,"TID_CHEST_WOOD","TID_CHEST_WOOD_NOTIFICATION",,,,,,"sc/ui_chest.sc","Chest_wood"
"NewbieRandom",,"TrainingCamp",,,,,0,,,,15,2,2,,10,200,,,,5,7,"sc/ui_chest.sc","Chest_wood",,"get_wood_chest","chest_open_wooden","chest_wood","chest_landing_wood","openChest_wood","tap_wooden_chest","sound_openChest_wood",,"TID_CHEST_WOOD","TID_CHEST_WOOD_NOTIFICATION",,,,,,"sc/ui_chest.sc","Chest_wood"
"Silver",,"TrainingCamp",,"TRUE",,,7,,3,,,3,3,60,12,500,10000,,,5,7,"sc/ui_chest.sc","Chest_iron","chest_iron_open","get_metal_chest","chest_open_iron","chest_iron","chest_landing_iron","openChest_iron","tap_iron_chest","sound_openChest_iron",,"TID_CHEST_SILVER","TID_CHEST_SILVER_NOTIFICATION",,,2,,,"sc/ui_chest.sc","Chest_iron"
"Gold",,"TrainingCamp",,"TRUE",,,25,,8,,,10,5,19,10,285,5700,,,5,7,"sc/ui_chest.sc","Chest_gold","chest_gold_open","get_gold_chest","chest_open_gold","chest_gold","chest_landing_gold","openChest_gold","tap_gold_chest","sound_openChest_gold",,"TID_CHEST_GOLD","TID_CHEST_GOLD_NOTIFICATION",,,3,,,"sc/ui_chest.sc","Chest_gold"
"Magic",,"TrainingCamp","TRUE","TRUE",,,250,,12,,,30,8,1,5,30,600,1000,,10,10,"sc/ui_chest.sc","Chest_magical","chest_magical_open","get_magic_chest","chest_open_magical","chest_magical","chest_landing_magic","openChest_magical","tap_magic_chest","sound_openChest_magical",,"TID_CHEST_MAGICAL","TID_CHEST_MAGICAL_NOTIFICATION",,,5,,,"sc/ui_chest.sc","Chest_magical"
"Free",,"TrainingCamp",,"TRUE",,,0,,,,,3,3,,10,200,4000,,"Goblins",7,8,"sc/ui_chest.sc","Chest_wood",,"get_wood_chest","chest_open_wooden","chest_wood","chest_landing_wood","openChest_wood","tap_wooden_chest","sound_openChest_wood",,"TID_CHEST_WOOD","TID_CHEST_WOOD_NOTIFICATION",,,1,,,"sc/ui_chest.sc","Chest_wood"
"Star",,"TrainingCamp",,"TRUE",,,0,,,,,20,5,,10,200,4000,,,7,8,"sc/ui_chest.sc","chest_star_closed",,"get_gold_chest","chest_open_gold","chest_star","chest_landing_magic","openChest_star","tap_magic_chest","sound_openChest_magical",,"TID_CHEST_GOLD","TID_CHEST_GOLD_NOTIFICATION",,,4,,,"sc/ui_chest.sc","chest_star_closed"
"Silver_Arena1","Silver","Arena1",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gold_Arena1","Gold","Arena1",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Magic_Arena1","Magic","Arena1",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Free_Arena1","Free","Arena1",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Star_Arena1","Star","Arena1",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Silver_Arena2","Silver","Arena2",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gold_Arena2","Gold","Arena2",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Magic_Arena2","Magic","Arena2",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Free_Arena2","Free","Arena2",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Star_Arena2","Star","Arena2",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Silver_Arena3","Silver","Arena3",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gold_Arena3","Gold","Arena3",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Magic_Arena3","Magic","Arena3",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Free_Arena3","Free","Arena3",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Star_Arena3","Star","Arena3",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Silver_Arena4","Silver","Arena4",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gold_Arena4","Gold","Arena4",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Magic_Arena4","Magic","Arena4",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Free_Arena4","Free","Arena4",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Star_Arena4","Star","Arena4",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Silver_Arena5","Silver","Arena5",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gold_Arena5","Gold","Arena5",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Magic_Arena5","Magic","Arena5",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Free_Arena5","Free","Arena5",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Star_Arena5","Star","Arena5",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Silver_Arena6","Silver","Arena6",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gold_Arena6","Gold","Arena6",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Magic_Arena6","Magic","Arena6",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Free_Arena6","Free","Arena6",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Star_Arena6","Star","Arena6",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Silver_Arena_L","Silver","Arena_L",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gold_Arena_L","Gold","Arena_L",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Magic_Arena_L","Magic","Arena_L",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Free_Arena_L","Free","Arena_L",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Star_Arena_L","Star","Arena_L",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Giant",,"TrainingCamp","TRUE","TRUE",,,140,,12,,,70,5,1,5,500,10000,10000,,3,3,"sc/ui_chest.sc","chest_giant_closed","chest_giant_open","get_giant_chest","chest_open_giant","chest_giant","chest_landing_giant","openChest_giant","tap_giant_chest","sound_openChest_giant",,"TID_CHEST_GIANT","TID_CHEST_GIANT_NOTIFICATION",,,6,,,"sc/ui_chest.sc","chest_giant_closed"
"Super",,"TrainingCamp","TRUE","TRUE",,,1500,,24,,,180,8,1,5,30,600,1,,9,9,"sc/ui_chest.sc","chest_mega_closed","chest_mega_open","get_mega_chest","chest_open_mega","chest_mega","chest_landing_mega","openChest_mega","tap_mega_chest","sound_openChest_bigmagical",,"TID_CHEST_SUPER","TID_CHEST_SUPER_NOTIFICATION",,,7,,,"sc/ui_chest.sc","chest_mega_closed"
"Giant_Arena1","Giant","Arena1",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Super_Arena1","Super","Arena1",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Giant_Arena2","Giant","Arena2",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Super_Arena2","Super","Arena2",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Giant_Arena3","Giant","Arena3",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Super_Arena3","Super","Arena3",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Giant_Arena4","Giant","Arena4",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Super_Arena4","Super","Arena4",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Giant_Arena5","Giant","Arena5",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Super_Arena5","Super","Arena5",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Giant_Arena6","Giant","Arena6",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Super_Arena6","Super","Arena6",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Giant_Arena7","Giant","Arena7",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Super_Arena7","Super","Arena7",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Giant_Arena_L","Giant","Arena_L",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Super_Arena_L","Super","Arena_L",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Silver_Arena7","Silver","Arena7",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gold_Arena7","Gold","Arena7",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Magic_Arena7","Magic","Arena7",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Free_Arena7","Free","Arena7",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Star_Arena7","Star","Arena7",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Giant_Arena8","Giant","Arena8",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Super_Arena8","Super","Arena8",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Silver_Arena8","Silver","Arena8",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gold_Arena8","Gold","Arena8",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Magic_Arena8","Magic","Arena8",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Free_Arena8","Free","Arena8",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Star_Arena8","Star","Arena8",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament1st",,"TrainingCamp",,,"TRUE",,0,,,,,,0,,5,30,600,,,7,7,"sc/ui_chest.sc","chest_tournament_1_c_closed",,"get_magic_chest","chest_open_tournament_1_c","chest_tournament_1_c","chest_landing_magic","openChest_magical","tap_magic_chest","sound_openChest_magical",,,,,,,,,"sc/ui_chest.sc","chest_tournament_1_c_closed"
"Tournament2nd",,"TrainingCamp",,,"TRUE",,0,,,,,,0,,5,30,600,,,7,7,"sc/ui_chest.sc","chest_tournament_2_c_closed",,"get_gold_chest","chest_open_tournament_2_c","chest_tournament_2_c","chest_landing_gold","openChest_gold","tap_gold_chest","sound_openChest_gold",,,,,,,,,"sc/ui_chest.sc","chest_tournament_2_c_closed"
"Tournament3rd",,"TrainingCamp",,,"TRUE",,0,,,,,,0,,5,30,600,,,7,7,"sc/ui_chest.sc","chest_tournament_3_c_closed",,"get_metal_chest","chest_open_tournament_3_c","chest_tournament_3_c","chest_landing_iron","openChest_iron","tap_iron_chest","sound_openChest_iron",,,,,,,,,"sc/ui_chest.sc","chest_tournament_3_c_closed"
"TournamentOther",,"TrainingCamp",,,"TRUE",,0,,,,,,0,,5,30,600,,,7,7,"sc/ui_chest.sc","chest_tournament_other_closed",,"get_wood_chest","chest_open_tournament_other","chest_tournament_other","chest_landing_wood","openChest_wood","tap_wooden_chest","sound_openChest_wood",,,,,,,,,"sc/ui_chest.sc","chest_tournament_other_closed"
"Tournament1st_Arena1","Tournament1st","Arena1",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament2nd_Arena1","Tournament2nd","Arena1",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament3rd_Arena1","Tournament3rd","Arena1",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TournamentOther_Arena1","TournamentOther","Arena1",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament1st_Arena2","Tournament1st","Arena2",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament2nd_Arena2","Tournament2nd","Arena2",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament3rd_Arena2","Tournament3rd","Arena2",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TournamentOther_Arena2","TournamentOther","Arena2",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament1st_Arena3","Tournament1st","Arena3",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament2nd_Arena3","Tournament2nd","Arena3",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament3rd_Arena3","Tournament3rd","Arena3",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TournamentOther_Arena3","TournamentOther","Arena3",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament1st_Arena4","Tournament1st","Arena4",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament2nd_Arena4","Tournament2nd","Arena4",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament3rd_Arena4","Tournament3rd","Arena4",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TournamentOther_Arena4","TournamentOther","Arena4",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament1st_Arena5","Tournament1st","Arena5",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament2nd_Arena5","Tournament2nd","Arena5",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament3rd_Arena5","Tournament3rd","Arena5",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TournamentOther_Arena5","TournamentOther","Arena5",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament1st_Arena6","Tournament1st","Arena6",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament2nd_Arena6","Tournament2nd","Arena6",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament3rd_Arena6","Tournament3rd","Arena6",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TournamentOther_Arena6","TournamentOther","Arena6",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament1st_Arena7","Tournament1st","Arena7",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament2nd_Arena7","Tournament2nd","Arena7",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament3rd_Arena7","Tournament3rd","Arena7",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TournamentOther_Arena7","TournamentOther","Arena7",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament1st_Arena8","Tournament1st","Arena8",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament2nd_Arena8","Tournament2nd","Arena8",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament3rd_Arena8","Tournament3rd","Arena8",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TournamentOther_Arena8","TournamentOther","Arena8",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament1st_Arena_L","Tournament1st","Arena_L",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament2nd_Arena_L","Tournament2nd","Arena_L",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament3rd_Arena_L","Tournament3rd","Arena_L",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TournamentOther_Arena_L","TournamentOther","Arena_L",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Legendary",,"Arena_L",,"FALSE",,,500,,24,,,1,1,1,0,0,1,,,0,0,"sc/ui_chest.sc","chest_legendary_closed","chest_legendary_open","get_legendary_chest","chest_open_legendary","chest_legendary","chest_landing_legendary","openChest_mega","tap_mega_chest","sound_openChest_bigmagical",,"TID_CHEST_LEGENDARY","TID_CHEST_LEGENDARY_NOTIFICATION",,,,"TRUE",,"sc/ui_chest.sc","chest_legendary_closed"
"Epic",,"Arena_L",,"FALSE",,,500,,12,,,20,5,,0,1,0,,,0,0,"sc/ui_chest.sc","chest_epic_closed","chest_epic_open","get_epic_chest","chest_open_epic","chest_epic","chest_landing_mega","openChest_mega","tap_mega_chest","sound_openChest_bigmagical",,"TID_CHEST_EPIC","TID_CHEST_EPIC_NOTIFICATION",,,,"TRUE",,"sc/ui_chest.sc","chest_epic_closed"
"Epic_Arena1","Epic","Arena1",,,,,,,,,,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Epic_Arena2","Epic","Arena2",,,,,,,,,,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Epic_Arena3","Epic","Arena3",,,,,,,,,,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Epic_Arena4","Epic","Arena4",,,,,,,,,,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Epic_Arena5","Epic","Arena5",,,,,,,,,,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Epic_Arena6","Epic","Arena6",,,,,,,,,,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Epic_Arena7","Epic","Arena7",,,,,,,,,,17,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Epic_Arena8","Epic","Arena8",,,,,,,,,,19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Epic_Arena_L","Epic","Arena_L",,,,,,,,,,20,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Survival_Bronze",,"TrainingCamp",,,,"TRUE",,,,,,,,,10,100,2000,,,15,15,"sc/ui_chest.sc","chest_tournament_2_a_closed",,"get_wood_chest","chest_open_tournament_2_a","chest_tournament_2_a","chest_landing_wood","openChest_wood","tap_wooden_chest","sound_openChest_wood",,,,,,,,,"sc/ui_chest.sc","chest_tournament_2_a_closed"
"Survival_Gold",,"TrainingCamp",,,,"TRUE",,,,,,,,,10,100,2000,,,15,15,"sc/ui_chest.sc","chest_tournament_1_a_closed",,"get_wood_chest","chest_open_tournament_1_a","chest_tournament_1_a","chest_landing_wood","openChest_wood","tap_wooden_chest","sound_openChest_wood",,,,,,,,,"sc/ui_chest.sc","chest_tournament_1_a_closed"
"Survival_Bronze_Arena1","Survival_Bronze","Arena1",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Survival_Gold_Arena1","Survival_Gold","Arena1",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Survival_Bronze_Arena2","Survival_Bronze","Arena2",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Survival_Gold_Arena2","Survival_Gold","Arena2",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Survival_Bronze_Arena3","Survival_Bronze","Arena3",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Survival_Gold_Arena3","Survival_Gold","Arena3",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Survival_Bronze_Arena4","Survival_Bronze","Arena4",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Survival_Gold_Arena4","Survival_Gold","Arena4",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Survival_Bronze_Arena5","Survival_Bronze","Arena5",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Survival_Gold_Arena5","Survival_Gold","Arena5",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Survival_Bronze_Arena6","Survival_Bronze","Arena6",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Survival_Gold_Arena6","Survival_Gold","Arena6",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Survival_Bronze_Arena7","Survival_Bronze","Arena7",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Survival_Gold_Arena7","Survival_Gold","Arena7",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Survival_Bronze_Arena8","Survival_Bronze","Arena8",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Survival_Gold_Arena8","Survival_Gold","Arena8",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Survival_Bronze_Arena_L","Survival_Bronze","Arena_L",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Survival_Gold_Arena_L","Survival_Gold","Arena_L",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament1st_2",,"TrainingCamp",,,"TRUE",,0,,,,,,,,10,200,4000,,,7,7,"sc/ui_chest.sc","chest_tournament_1_c_closed",,"get_magic_chest","chest_open_tournament_1_c","chest_tournament_1_c","chest_landing_magic","openChest_magical","tap_magic_chest","sound_openChest_magical",,,,,,,,,"sc/ui_chest.sc","chest_tournament_1_c_closed"
"Tournament2nd_2",,"TrainingCamp",,,"TRUE",,0,,,,,,,,10,200,4000,,,7,7,"sc/ui_chest.sc","chest_tournament_2_c_closed",,"get_gold_chest","chest_open_tournament_2_c","chest_tournament_2_c","chest_landing_gold","openChest_gold","tap_gold_chest","sound_openChest_gold",,,,,,,,,"sc/ui_chest.sc","chest_tournament_2_c_closed"
"Tournament3rd_2",,"TrainingCamp",,,"TRUE",,0,,,,,,,,10,200,4000,,,7,7,"sc/ui_chest.sc","chest_tournament_3_c_closed",,"get_metal_chest","chest_open_tournament_3_c","chest_tournament_3_c","chest_landing_iron","openChest_iron","tap_iron_chest","sound_openChest_iron",,,,,,,,,"sc/ui_chest.sc","chest_tournament_3_c_closed"
