"Name","Enabled","Description","SortOrder","HasEvenSpaceCharacters","UsedSystemFont","HelpshiftSDKLanguage","HelpshiftSDKLanguageAndroid","HelpshiftLanguageTag","TermsAndServiceUrl","ParentsGuideUrl","PrivacyPolicyUrl","TestLanguage","TestExcludes","RegionListFile","MaintenanceRoyalBox","RoyalBoxURL","RoyalBoxStageURL","RoyalBoxDevURL","BoomBoxURL","EventsURL"
"String","boolean","string","int","boolean","string","string","string","string","string","string","string","boolean","string","string","boolean","string","string","string","string","string"
"EN","TRUE",,1,,,"en",,"EN","http://supercell.com/en/terms-of-service/","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/",,,,"TRUE","https://inbox.clashroyale.com/","https://inbox-staging.clashroyale.com/","https://ducn7cprpa5c7.cloudfront.net/","https://inbox.boombeach.com/","http://clashnights.s3-website.eu-central-1.amazonaws.com/"
"FR","TRUE",,5,,,"fr",,"FR","http://supercell.com/en/terms-of-service/fr","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/fr",,,,,"https://clashroyale.com/fr/blog","https://inbox-staging.clashroyale.com/fr/","http://scroll-staging.s3-website-us-east-1.amazonaws.com/fr/blog","https://inbox.boombeach.com/fr/","http://clashnights.s3-website.eu-central-1.amazonaws.com/"
"DE","TRUE",,6,,,"de",,"DE","http://supercell.com/en/terms-of-service/de","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/de",,,,,"https://clashroyale.com/de/blog","https://inbox-staging.clashroyale.com/de/","http://scroll-staging.s3-website-us-east-1.amazonaws.com/de/blog","https://inbox.boombeach.com/de/","http://clashnights.s3-website.eu-central-1.amazonaws.com/"
"ES","TRUE",,7,,,"es",,"ES","http://supercell.com/en/terms-of-service/es","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/es",,,,,"https://clashroyale.com/es/blog","https://inbox-staging.clashroyale.com/es/","http://scroll-staging.s3-website-us-east-1.amazonaws.com/es/blog","https://inbox.boombeach.com/es/","http://clashnights.s3-website.eu-central-1.amazonaws.com/"
"IT","TRUE",,8,,,"it",,"IT","http://supercell.com/en/terms-of-service/it","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/it",,,,,"https://clashroyale.com/it/blog","https://inbox-staging.clashroyale.com/it/","http://scroll-staging.s3-website-us-east-1.amazonaws.com/it/blog","https://inbox.boombeach.com/it/","http://clashnights.s3-website.eu-central-1.amazonaws.com/"
"NL","TRUE",,9,,,"nl",,"NL","http://supercell.com/en/terms-of-service/","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/",,,,,"https://clashroyale.com/nl/blog","https://inbox-staging.clashroyale.com/nl/","http://scroll-staging.s3-website-us-east-1.amazonaws.com/nl/blog","https://inbox.boombeach.com/nl/","http://clashnights.s3-website.eu-central-1.amazonaws.com/"
"NO","TRUE",,10,,,,,"NO","http://supercell.com/en/terms-of-service/","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/",,,,,"https://clashroyale.com/no/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/no/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/no/blog","https://inbox.boombeach.com/no/","http://clashnights.s3-website.eu-central-1.amazonaws.com/"
"PT","TRUE",,11,,,"pt","pt_Br","PT","http://supercell.com/en/terms-of-service/pt","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/pt",,,,,"https://inbox.clashroyale.com/pt/","https://inbox-staging.clashroyale.com/pt/","http://scroll-staging.s3-website-us-east-1.amazonaws.com/pt/blog","https://inbox.boombeach.com/pt/","http://clashnights.s3-website.eu-central-1.amazonaws.com/"
"TR","TRUE",,12,,,"tr",,"TR","http://supercell.com/en/terms-of-service/tr","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/tr",,,,,"https://clashroyale.com/tr/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/tr/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/tr/blog","https://inbox.boombeach.com/tr/","http://clashnights.s3-website.eu-central-1.amazonaws.com/"
"CN","TRUE",,2,"TRUE","STHeitiSC-Medium","zh-Hans","zh_CN","ZH-HANS","http://supercell.com/en/terms-of-service/cn","http://www.supercell.com/en/parents/cn","http://www.supercell.com/en/privacy-policy/cn",,,"csv_client/sorted_regions/CN_regions.csv","TRUE","https://cr-inbox.kunlun-cdn.com/","https://test-cr-inbox.kunlun-cdn.com/","https://ducn7cprpa5c7.cloudfront.net/zh_cn/","https://bb-inbox.kunlun-cdn.com/","http://clashnights.s3-website.eu-central-1.amazonaws.com/"
"JP","TRUE",,4,"TRUE","HiraKakuProN-W6","ja",,"JP","http://supercell.com/en/terms-of-service/jp","http://www.supercell.com/en/parents/jp","http://www.supercell.com/en/privacy-policy/jp",,,"csv_client/sorted_regions/JP_regions.csv","TRUE","https://inbox.clashroyale.com/ja/","https://inbox-staging.clashroyale.com/ja/","https://ducn7cprpa5c7.cloudfront.net/ja/","https://inbox.boombeach.com/jp/","http://clashnights.s3-website.eu-central-1.amazonaws.com/"
"KR","TRUE",,3,"TRUE",,"ko",,"KR","http://supercell.com/en/terms-of-service/ko","http://www.supercell.com/en/parents/ko","http://www.supercell.com/en/privacy-policy/ko",,,"csv_client/sorted_regions/KR_regions.csv","TRUE","https://inbox.clashroyale.com/ko/","https://inbox-staging.clashroyale.com/ko/","https://ducn7cprpa5c7.cloudfront.net/ko/","https://inbox.boombeach.com/ko/","http://clashnights.s3-website.eu-central-1.amazonaws.com/"
"RU","TRUE",,13,,,"ru",,"RU","http://supercell.com/en/terms-of-service/ru","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/ru",,,,,"https://clashroyale.com/ru/blog","https://inbox-staging.clashroyale.com/ru/","http://scroll-staging.s3-website-us-east-1.amazonaws.com/ru/blog","https://inbox.boombeach.com/ru/","http://clashnights.s3-website.eu-central-1.amazonaws.com/"
"TEXT","FALSE","Longest text",100,,,"zh-hans","zh_CN","EN","http://supercell.com/en/terms-of-service/","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/","TRUE","AR",,,"https://clashroyale.com/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/blog","https://inbox.boombeach.com/","http://clashnights.s3-website.eu-central-1.amazonaws.com/"
,,,,,,,,,,,,,"FA",,,,,,,
"WORD","FALSE","Longest word",101,,,"cn","zh_TW","EN","http://supercell.com/en/terms-of-service/","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/","TRUE","AR",,,"https://clashroyale.com/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/blog","https://inbox.boombeach.com/","http://clashnights.s3-website.eu-central-1.amazonaws.com/"
,,,,,,,,,,,,,"FA",,,,,,,
"DOUBLE","FALSE","Double String",102,,,"zh-Hans","zh_CN","EN","http://supercell.com/en/terms-of-service/","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/","TRUE",,,,"https://clashroyale.com/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/blog","https://inbox.boombeach.com/","http://clashnights.s3-website.eu-central-1.amazonaws.com/"
"EMPTY","FALSE","Empty texts",103,,,"ko","ko","EN","http://supercell.com/en/terms-of-service/","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/","TRUE",,,,"https://clashroyale.com/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/blog","https://inbox.boombeach.com/","http://clashnights.s3-website.eu-central-1.amazonaws.com/"
"CNT","TRUE",,14,"TRUE","STHeitiSC-Medium","zh-Hant","zh_TW","ZH-HANT","http://supercell.com/en/terms-of-service/cn","http://www.supercell.com/en/parents/cn","http://www.supercell.com/en/privacy-policy/cn",,,"csv_client/sorted_regions/CNT_regions.csv",,"https://clashroyale.com/zh/blog","https://inbox-staging.clashroyale.com/zh/","http://scroll-staging.s3-website-us-east-1.amazonaws.com/zh/blog","https://inbox.boombeach.com/zh/","http://clashnights.s3-website.eu-central-1.amazonaws.com/"
"AR","TRUE",,15,,,"ar",,"AR","http://supercell.com/en/terms-of-service/","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/",,,,,"https://clashroyale.com/ar/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/ar/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/ar/blog","https://inbox.boombeach.com/ar/","http://clashnights.s3-website.eu-central-1.amazonaws.com/"
"FA","TRUE",,16,,,,,"fa","http://supercell.com/en/terms-of-service/","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/",,,,,"https://clashroyale.com/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/blog","https://inbox.boombeach.com/","http://clashnights.s3-website.eu-central-1.amazonaws.com/"
"MS","TRUE",,17,,,"ms",,"ms","http://supercell.com/en/terms-of-service/","http://www.supercell.com/en/parents/ms","http://www.supercell.com/en/privacy-policy/",,,,,"https://clashroyale.com/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/blog","https://inbox.boombeach.com/ms/","http://clashnights.s3-website.eu-central-1.amazonaws.com/"
"ID","TRUE",,18,,,"id",,"id","http://supercell.com/en/terms-of-service/","http://www.supercell.com/en/parents/id","http://www.supercell.com/en/privacy-policy/",,,,,"https://clashroyale.com/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/blog","https://inbox.boombeach.com/id/","http://clashnights.s3-website.eu-central-1.amazonaws.com/"
