"Name","Spells","SpellLevel","RandomSpellSets","Description","TID"
"String","String","int","String","String","String"
"BasicDeck1","Goblins",1,,,
"BasicDeck2","Goblins",1,,,
,"Knight",1,,,
"BasicDeck3","Knight",1,,,
,"Goblins",1,,,
,"Skeletons",1,,,
"BasicDeck4","Knight",1,,,
,"Goblins",1,,,
,"Skeletons",1,,,
,"Archer",1,,,
"BasicDeck5","Knight",1,,,
,"Goblins",1,,,
,"Skeletons",1,,,
,"Archer",1,,,
,"Bomber",1,,,
"BasicDeck6","Knight",1,,,
,"Goblins",2,,,
,"Skeletons",1,,,
,"Archer",2,,,
,"Bomber",1,,,
,"Arrows",1,,,
"BasicDeck7","Knight",1,,,
,"Goblins",2,,,
,"Skeletons",1,,,
,"Archer",2,,,
,"Bomber",1,,,
,"Arrows",1,,,
,"Fireball",1,,,
,"Giant",1,,,
"BasicDeck8","Knight",2,,,
,"Archer",2,,,
,"Goblins",2,,,
,"SpearGoblins",2,,,
,"Giant",1,,,
,"GoblinHut",1,,,
,"Fireball",2,,,
,"BabyDragon",1,,,
"BasicDeck9","Knight",2,,,
,"Archer",2,,,
,"Goblins",2,,,
,"SpearGoblins",3,,,
,"Giant",1,,,
,"GoblinHut",1,,,
,"Arrows",3,,,
,"SkeletonArmy",1,,,
"BasicDeck10","Knight",3,,,
,"Archer",3,,,
,"Goblins",2,,,
,"Skeletons",2,,,
,"Prince",1,,,
,"SpearGoblins",3,,,
,"Arrows",3,,,
,"Fireball",1,,,
"BasicDeck11","Valkyrie",1,,,
,"Archer",3,,,
,"Witch",1,,,
,"Skeletons",3,,,
,"Bomber",3,,,
,"Minions",3,,,
,"Knight",3,,,
,"Fireball",2,,,
"BasicDeck12","Knight",3,,,
,"Archer",3,,,
,"Goblins",3,,,
,"Skeletons",4,,,
,"BombTower",2,,,
,"Minions",2,,,
,"Tombstone",2,,,
,"Balloon",1,,,
"BasicDeck13","Barbarians",3,,,
,"BarbarianHut",1,,,
,"SkeletonArmy",2,,,
,"Skeletons",4,,,
,"Witch",1,,,
,"Fireball",2,,,
,"Cannon",1,,,
,"Arrows",4,,,
"BasicDeck14","Musketeer",2,,,
,"Bomber",4,,,
,"BarbarianHut",2,,,
,"Goblins",4,,,
,"Giant",2,,,
,"Balloon",2,,,
,"Archer",4,,,
,"Fireball",2,,,
"BasicDeck15","Musketeer",2,,,
,"Bomber",5,,,
,"MiniPekka",3,,,
,"Goblins",4,,,
,"Prince",1,,,
,"Balloon",1,,,
,"Archer",4,,,
,"Fireball",4,,,
"BasicDeck16","Knight",5,,,
,"Archer",5,,,
,"SkeletonArmy",2,,,
,"Goblins",5,,,
,"Fireball",3,,,
,"Giant",2,,,
,"Valkyrie",3,,,
,"MiniPekka",3,,,
"BasicDeck17","HogRider",3,,,
,"InfernoTower",2,,,
,"Cannon",6,,,
,"Knight",5,,,
,"SpearGoblins",6,,,
,"Prince",2,,,
,"Archer",6,,,
,"Fireball",3,,,
"BasicDeck18","Witch",2,,,
,"Pekka",2,,,
,"Goblins",6,,,
,"SpearGoblins",6,,,
,"Zap",6,,,
,"Wizard",3,,,
,"Archer",6,,,
,"Arrows",6,,,
"BasicDeck19","Musketeer",4,,,
,"MinionHorde",6,,,
,"Rocket",4,,,
,"Goblins",6,,,
,"Giant",4,,,
,"Wizard",3,,,
,"Archer",7,,,
,"Arrows",6,,,
"BasicDeck20","BarbarianHut",4,,,
,"Tombstone",3,,,
,"BombTower",4,,,
,"Goblins",6,,,
,"Giant",4,,,
,"SpearGoblins",7,,,
,"Prince",2,,,
,"Fireball",4,,,
"BasicDeck21","Goblins",6,,,
,"SpearGoblins",7,,,
,"SkeletonArmy",2,,,
,"Skeletons",7,,,
,"Knight",6,,,
,"Witch",2,,,
,"Fireball",4,,,
,"Arrows",6,,,
"BasicDeck22","Witch",2,,,
,"Wizard",4,,,
,"Giant",4,,,
,"Barbarians",7,,,
,"Fireball",4,,,
,"HogRider",4,,,
,"GoblinBarrel",2,,,
,"MinionHorde",6,,,
,"Prince",2,,,
"BasicDeck23","Lightning",2,,,
,"HogRider",4,,,
,"MiniPekka",4,,,
,"SpearGoblins",7,,,
,"Arrows",7,,,
,"BabyDragon",2,,,
,"SkeletonArmy",2,,,
,"Skeletons",7,,,
"BasicDeck24","Knight",7,,,
,"Goblins",7,,,
,"Bomber",7,,,
,"SpearGoblins",7,,,
,"Arrows",7,,,
,"HogRider",4,,,
,"MinionHorde",7,,,
,"Prince",2,,,
"BasicDeck25","Minions",7,,,
,"MinionHorde",7,,,
,"Balloon",2,,,
,"BabyDragon",2,,,
,"Arrows",7,,,
,"Fireball",4,,,
,"Zap",7,,,
,"GoblinBarrel",2,,,
"BasicDeck26","Giant",5,,,
,"HogRider",4,,,
,"Balloon",2,,,
,"SpearGoblins",7,,,
,"Goblins",7,,,
,"BabyDragon",2,,,
,"Fireball",4,,,
,"Arrows",7,,,
"BasicDeck27","Lightning",2,,,
,"Prince",3,,,
,"Musketeer",5,,,
,"MiniPekka",4,,,
,"Knight",7,,,
,"Archer",7,,,
,"SpearGoblins",7,,,
,"SkeletonArmy",3,,,
"BasicDeck28","Skeletons",8,,,
,"Goblins",7,,,
,"SpearGoblins",8,,,
,"Archer",7,,,
,"Knight",8,,,
,"Minions",7,,,
,"Bomber",8,,,
,"Zap",7,,,
"BasicDeck29","HogRider",5,,,
,"Balloon",3,,,
,"Giant",5,,,
,"Goblins",8,,,
,"Fireball",5,,,
,"SpearGoblins",8,,,
,"IceSpirits",8,,,
,"Rocket",4,,,
"BasicDeck30","Knight",8,,,
,"Goblins",8,,,
,"Bomber",8,,,
,"SpearGoblins",8,,,
,"Arrows",8,,,
,"HogRider",5,,,
,"MinionHorde",8,,,
,"Prince",3,,,
"BasicDeck31","Goblins",8,,,
,"SpearGoblins",8,,,
,"Skeletons",8,,,
,"BabyDragon",3,,,
,"Giant",5,,,
,"Witch",3,,,
,"GoblinBarrel",2,,,
,"Fireball",5,,,
"BasicDeck32","Pekka",2,,,
,"SpearGoblins",8,,,
,"SkeletonArmy",3,,,
,"Goblins",8,,,
,"GoblinBarrel",2,,,
,"Minions",8,,,
,"MinionHorde",8,,,
,"BabyDragon",3,,,
"BasicDeck33","Lightning",2,,,
,"MiniPekka",5,,,
,"Barbarians",8,,,
,"Wizard",5,,,
,"Zap",8,,,
,"BabyDragon",3,,,
,"Pekka",2,,,
,"Goblins",8,,,
"BasicDeck34","IceSpirits",8,,,
,"IceGolemite",5,,,
,"Freeze",3,,,
,"IceWizard",1,,,
,"Bowler",3,,,
,"SpearGoblins",8,,,
,"RageBarbarian",1,,,
,"Mirror",3,,,
"BasicDeck35","SpearGoblins",8,,,
,"Archer",8,,,
,"MinionHorde",8,,,
,"Arrows",8,,,
,"Barbarians",8,,,
,"Giant",6,,,
,"HogRider",6,,,
,"Elixir Collector",6,,,
"BasicDeck36","GiantSkeleton",4,,,
,"Graveyard",1,,,
,"Bowler",4,,,
,"HogRider",7,,,
,"SpearGoblins",9,,,
,"Arrows",9,,,
,"Fireball",9,,,
,"Archer",9,,,
"BasicDeck37","Golem",4,,,
,"Giant",7,,,
,"Balloon",4,,,
,"ThreeMusketeers",7,,,
,"Wizard",8,,,
,"FireSpirits",9,,,
,"SkeletonWarriors",4,,,
,"Valkyrie",8,,,
"BasicDeck38","Prince",5,,,
,"Knight",10,,,
,"Pekka",5,,,
,"Goblins",10,,,
,"Princess",2,,,
,"MiniPekka",8,,,
,"Arrows",10,,,
,"DarkPrince",5,,,
"BasicDeck39","GoblinBarrel",6,,,
,"Golem",6,,,
,"ZapMachine",3,,,
,"SpearGoblins",11,,,
,"IceGolemite",9,,,
,"Rocket",9,,,
,"HogRider",9,,,
,"Archer",11,,,
"BasicDeck40","Balloon",7,,,
,"SkeletonWarriors",6,,,
,"Minions",12,,,
,"Bomber",11,,,
,"Goblins",12,,,
,"SpearGoblins",12,,,
,"Archer",11,,,
,"Wizard",10,,,
"BasicDeck41","RoyalGiant",12,,,
,"Arrows",12,,,
,"Barbarians",12,,,
,"Miner",3,,,
,"FireSpirits",12,,,
,"SpearGoblins",11,,,
,"BabyDragon",6,,,
,"IceSpirits",11,,,
"BasicDeck42","AngryBarbarians",12,,,
,"Clone",6,,,
,"HogRider",10,,,
,"Minions",12,,,
,"BattleRam",10,,,
,"BlowdartGoblin",10,,,
,"GoblinGang",11,,,
,"IceGolemite",9,,,
"BasicDeck43","ElectroWizard",3,,,
,"MegaMinion",10,,,
,"HogRider",10,,,
,"Fireball",10,,,
,"IceSpirits",12,,,
,"Tornado",7,,,
,"Wizard",11,,,
,"Goblins",12,,,
"BasicDeck44","Rocket",11,,,
,"GoblinGang",12,,,
,"IceSpirits",12,,,
,"RoyalGiant",12,,,
,"BattleRam",10,,,
,"Archer",12,,,
,"Balloon",8,,,
,"Minions",12,,,
"BasicDeck45","AxeMan",7,,,
,"Tornado",8,,,
,"Log",4,,,
,"Princess",4,,,
,"Wizard",10,,,
,"Fireball",11,,,
,"ZapMachine",3,,,
,"IceGolemite",11,,,
"BasicDeck46","Graveyard",4,,,
,"BlowdartGoblin",11,,,
,"Knight",13,,,
,"Musketeer",11,,,
,"Archer",12,,,
,"SpearGoblins",12,,,
,"MegaMinion",11,,,
,"Bowler",8,,,
"BasicDeck47","Princess",5,,,
,"Miner",5,,,
,"IceWizard",5,,,
,"InfernoDragon",5,,,
,"RageBarbarian",5,,,
,"LavaHound",5,,,
,"ZapMachine",5,,,
,"Log",5,,,
"BlindDeck1",,,"SetRandomRangedSupport",,"TID_BLIND_DECK_RANDOM"
,,,"SetRandomDirectDamageSpell",,
,,,"SetRandomCheapUnit",,
,,,"SetRandomAttackCard1",,
,,,"SetRandomAttackCard2",,
,,,"SetRandom2to3Any",,
,,,"SetRandom3to4Unit",,
,,,"SetRandom3to5Any",,
"BlindDeck2",,,"Draft_AntiAir",,"TID_BLIND_DECK_RANDOM"
,,,"Draft_DamageSpell",,
,,,"Draft_CheapDudes",,
,,,"Draft_Aggressive",,
,,,"Draft_3costUnit",,
,,,"Draft_4costUnit",,
,,,"Draft_5costUnit",,
,,,"SetRandomAll",,
"FixedDeck1","Fireball",1,"SetFixedSpirit",,"TID_BLIND_DECK1"
,"Bowler",1,"SetFixedSwarm",,
,"Xbow",1,,,
,"Zap",1,,,
,"Princess",1,,,
,"MiniPekka",1,,,
"FixedDeck2","HogRider",1,"SetFixedMidSupport",,"TID_BLIND_DECK2"
,"Freeze",1,"SetFixedBuildingDefense",,
,"IceWizard",1,,,
,"Poison",1,,,
,"Knight",1,,,
,"SpearGoblins",1,,,
"FixedDeck3","Archer",1,"SetFixedTankUnit",,"TID_BLIND_DECK3"
,"Witch",1,"SetFixedSpirit",,
,"Rage",1,,,
,"Balloon",1,,,
,"Minions",1,,,
,"Zap",1,,,
"FixedDeck4","Miner",1,"SetFixedFlyingSupport",,"TID_BLIND_DECK4"
,"ThreeMusketeers",1,"SetFixedSpirit",,
,"Knight",1,,,
,"Zap",1,,,
,"Elixir Collector",1,,,
,"Mirror",1,,,
"FixedDeck5","Golem",1,"SetFixedSpirit",,"TID_BLIND_DECK5"
,"Log",1,"SetFixedDamageSpellMid",,
,"Elixir Collector",1,,,
,"Archer",1,,,
,"Musketeer",1,,,
,"MinionHorde",1,,,
"FixedDeck6","RageBarbarian",1,"SetFixedBuildingHut",,"TID_BLIND_DECK6"
,"DarkPrince",1,"SetFixedCheapFlying",,
,"Lightning",1,,,
,"SpearGoblins",1,,,
,"Archer",1,,,
,"SkeletonArmy",1,,,
